Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop6             0.00         0.00         0.00         0.00          0          0          0
loop7             0.00         0.00         0.00         0.00          0          0          0
loop8             0.00         0.00         0.00         0.00          0          0          0
loop9             0.00         0.00         0.00         0.00          0          0          0
nvme0n1           0.00         0.00         0.00         0.00          0          0          0
nvme1n1          20.00         0.00       164.00         0.00          0        164          0


Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00          0          0          0
loop1             0.00         0.00         0.00         0.00          0          0          0
loop10            0.00         0.00         0.00         0.00          0          0          0
loop11            0.00         0.00         0.00         0.00          0          0          0
loop12            0.00         0.00         0.00         0.00          0          0          0
loop13            0.00         0.00         0.00         0.00          0          0          0
loop14            0.00         0.00         0.00         0.00          0          0          0
loop15            0.00         0.00         0.00         0.00          0          0          0
loop16            0.00         0.00         0.00         0.00          0          0          0
loop17            0.00         0.00         0.00         0.00          0          0          0
loop18            0.00         0.00         0.00         0.00          0          0          0
loop19            0.00         0.00         0.00         0.00          0          0          0
loop2             0.00         0.00         0.00         0.00          0          0          0
loop20            0.00         0.00         0.00         0.00          0          0          0
loop21            0.00         0.00         0.00         0.00          0          0          0
loop22            0.00         0.00         0.00         0.00          0          0          0
loop23            0.00         0.00         0.00         0.00          0          0          0
loop24            0.00         0.00         0.00         0.00          0          0          0
loop25            0.00         0.00         0.00         0.00          0          0          0
loop26            0.00         0.00         0.00         0.00          0          0          0
loop27            0.00         0.00         0.00         0.00          0          0          0
loop28            0.00         0.00         0.00         0.00          0          0          0
loop29            0.00         0.00         0.00         0.00          0          0          0
loop3             0.00         0.00         0.00         0.00          0          0          0
loop30            0.00         0.00         0.00         0.00          0          0          0
loop31            0.00         0.00         0.00         0.00          0          0          0
loop32            0.00         0.00         0.00         0.00          0          0          0
loop33            0.00         0.00         0.00         0.00          0          0          0
loop34            0.00         0.00         0.00         0.00          0          0          0
loop35            0.00         0.00         0.00         0.00          0          0          0
loop36            0.00         0.00         0.00         0.00          0          0          0
loop37            0.00         0.00         0.00         0.00          0          0          0
loop38            0.00         0.00         0.00         0.00          0          0          0
loop39            0.00         0.00         0.00         0.00          0          0          0
loop4             0.00         0.00         0.00         0.00          0          0          0
loop40            0.00         0.00         0.00         0.00          0          0          0
loop41            0.00         0.00         0.00         0.00          0          0          0
loop42            0.00         0.00         0.00         0.00          0          0          0
loop43            0.00         0.00         0.00         0.00          0          0          0
loop44            0.00         0.00         0.00         0.00          0          0          0
loop45            0.00         0.00         0.00         0.00          0          0          0
loop46            0.00         0.00         0.00         0.00          0          0          0
loop47            0.00         0.00         0.00         0.00          0          0          0
loop48            0.00         0.00         0.00         0.00          0          0          0
loop49            0.00         0.00         0.00         0.00          0          0          0
loop5             0.00         0.00         0.00         0.00          0          0          0
loop50            0.00         0.00         0.00         0.00          0          0          0
loop51            0.00         0.00         0.00         0.00          0          0          0
loop52            0.00         0.00         0.00         0.00          0          0          0
loop53            0.00         0.00         0.00         0.00          0          0          0
loop54            0.00         0.00         0.00         0.00          0          0          0
loop55            0.00         0.00         0.00         0.00          0          0          0
loop56            0.00         0.00         0.00         0.00          0          0          0
loop57            0.00         0.00         0.00         0.00          0          0          0
loop6             0.00         0.00         0.00         0.00          0          0          0
loop7             0.00         0.00         0.00         0.00          0          0          0
loop8             0.00         0.00         0.00         0.00          0          0          0
loop9             0.00         0.00         0.00         0.00          0          0          0
nvme0n1           0.00         0.00         0.00         0.00          0          0          0
nvme1n1           0.00         0.00         0.00         0.00          0          0          0


